id,name,owner,manual_time,manual_recurrence,auto_recurrence,auto_recurrence_day,created_date,last_run,data_source,data_source_id,data_storage_type,data_storage_id,storage_type,storage_id,file_name,dynamic_name,after_before,workbook_name,wb_sheet_name,wb_start_column,wb_start_row,dist_to,dist_cc,dist_bcc,dist_subject,dist_body,dist_body_template,dist_file_names,sql_source_backup,owner_email,operational,department,run_requested,wb_end_row,wb_end_column,recurrence_hour,last_attempt,no_data_notification,no_data_is_error,tables_populated,dependencies,append,insert_timestamp,sql_database
41,FCRA Reporting,JD,60,Bi-Weekly,Bi-Weekly,Monday,2018-01-16 00:00:00,,Python,C:\Users\jonathan.lauret\Google Drive\Projects\Python Projects\SQL Automator\python_scripts\FCRA,,,,,FCRA.py,,,,,,,,,,,,,,Run by Windows Task Scheduler,jonathan.lauret@vivintsolar.com,Non-Operational,BA/PMO,FALSE,,,,2018-10-24 18:00:07.412000,,,,,False,False,
545,RTS-R-R Confirmation Dialer,Matthew Keeler,5,Daily,Daily,,2018-09-21 00:00:00,2018-11-09 05:02:42.991000,SQL,https://drive.google.com/file/d/1UO6ae2T4JbMXu67An8ycc_wzoqx6MScN/view?usp=sharing,CSV,,Google Drive,https://drive.google.com/open?id=1enPKDIkHUmC205Sl8eIQEdZFhsex2lJM,RTS-R-R Confirmation Dialer,%y-%m-%d ,Before,,Main,1,2,,,,,,,,,matthew.keeler@vivintsolar.com,Non-Operational,BA/PMO,FALSE,,,5,2018-11-09 05:01:21.151000,True,False,,,False,False,Data Warehouse
558,RTS-R-R Work Order Audit Dialer,Matthew Keeler,5,Daily,Daily,,2018-09-21 00:00:00,2018-11-09 05:02:38.898000,SQL,https://drive.google.com/file/d/1VxV65Q2jm-pa3t8cGOVSod2ZEtpoMf6S/view?usp=sharing,CSV,,Google Drive,https://drive.google.com/open?id=1enPKDIkHUmC205Sl8eIQEdZFhsex2lJM,RTS-R-R Previous Day Audit Dialer,%y-%m-%d ,Before,,RTS-R-R Previous Day Audit Dial,1,2,,,,,,,,,matthew.keeler@vivintsolar.com,Non-Operational,BA/PMO,FALSE,,,5,2018-11-09 05:01:17.782000,True,False,,,False,False,Data Warehouse
433,Relations Fund - Fund 22,Gavin,1,Daily,Daily,,2018-08-21 00:00:00,2018-10-26 00:02:44.144000,SQL,https://drive.google.com/open?id=18UzNgAgN1cvhL3gz3EIM0bWcxHPxgyw8,Google Sheets,https://docs.google.com/spreadsheets/d/1P67TLT-ClvCqeChbXiNyMrVz808IncmzPD3cbkmY6lc/edit?usp=sharing,,,,,,,Fund 22,1,2,,,,,,,,,gavin.woolf1@vivintsolar.com,Non-Operational,BA/PMO,FALSE,,40,,2018-11-05 13:05:48.899000,True,False,,190,False,False,Data Warehouse
434,Relations Fund - Fund 23,Gavin,1,Daily,Daily,,2018-08-21 00:00:00,2018-10-26 16:16:19.582000,SQL,https://drive.google.com/open?id=17SDxIqp0wUQjRdJeoo7r2hL53Ne-KvFL,Google Sheets,https://docs.google.com/spreadsheets/d/1P67TLT-ClvCqeChbXiNyMrVz808IncmzPD3cbkmY6lc/edit?usp=sharing,,,,,,,Fund 23,1,2,,,,,,,,,gavin.woolf1@vivintsolar.com,Non-Operational,BA/PMO,FALSE,,40,,2018-11-05 13:05:49.671000,True,False,,190,False,False,Data Warehouse
435,Relations Fund - Fund 24,Gavin,1,Daily,Daily,,2018-08-21 00:00:00,2018-10-26 16:17:05.458000,SQL,https://drive.google.com/open?id=1DXOXhgoQW7EqU4ovcmC6kJfVfwIPug2x,Google Sheets,https://docs.google.com/spreadsheets/d/1P67TLT-ClvCqeChbXiNyMrVz808IncmzPD3cbkmY6lc/edit?usp=sharing,,,,,,,Fund 24,1,2,,,,,,,,,gavin.woolf1@vivintsolar.com,Non-Operational,BA/PMO,FALSE,,40,,2018-11-05 13:05:49.702000,True,False,,190,False,False,Data Warehouse
436,Relations Fund - Balance Sheet/Other,Gavin,1,Daily,Daily,,2018-08-21 00:00:00,2018-10-26 00:03:44.427000,SQL,https://drive.google.com/open?id=1ViNC4xq3TCWnsfMgE851_6gWuiEWxNgz,Google Sheets,https://docs.google.com/spreadsheets/d/1P67TLT-ClvCqeChbXiNyMrVz808IncmzPD3cbkmY6lc/edit?usp=sharing,,,,,,,Balance Sheet/Other,1,2,,,,,,,,,gavin.woolf1@vivintsolar.com,Non-Operational,BA/PMO,FALSE,,40,,2018-11-05 13:05:50.852000,True,False,,190,False,False,Data Warehouse
420,Relations Buckets - Team 01,Gavin,1,Daily,Daily,,2018-08-21 00:00:00,2018-10-30 15:52:16.982000,SQL,https://drive.google.com/open?id=1cQQ2GMXy7I3ibPKx-YzQGKrpVjz-VfKt,Google Sheets,https://drive.google.com/open?id=1meZu0zgV6KQrs4tlIBoeuTaLWLYvwX4dbGnpU2BbQqs,,,,,,,Team 01,1,2,,,,,,,,,gavin.woolf1@vivintsolar.com,Non-Operational,BA/PMO,FALSE,,37,,2018-11-05 13:05:50.987000,True,False,,190,False,False,Data Warehouse
421,Relations Buckets - Team 02,Gavin,1,Daily,Daily,,2018-08-21 00:00:00,2018-10-29 11:44:49.491000,SQL,https://drive.google.com/open?id=1jgu8bEJX7sw_ixp_L3P_I1O7RNT52dXk,Google Sheets,https://drive.google.com/open?id=1M4pbep1-hAgmNz1oUMCS6r6gwO4EFKJi4m86RLmoOGk,,,,,,,Team 02,1,2,,,,,,,,,gavin.woolf1@vivintsolar.com,Non-Operational,BA/PMO,FALSE,,37,,2018-11-05 13:05:51.063000,True,False,,190,False,False,Data Warehouse
422,Relations Buckets - Team 03,Gavin,1,Daily,Daily,,2018-08-21 00:00:00,2018-10-29 11:44:45.274000,SQL,https://drive.google.com/open?id=17RWt3wUgrYCNqdYNtvXc7fWOzvwj7a7r,Google Sheets,https://drive.google.com/open?id=1M4pbep1-hAgmNz1oUMCS6r6gwO4EFKJi4m86RLmoOGk,,,,,,,Team 03,1,2,,,,,,,,,gavin.woolf1@vivintsolar.com,Non-Operational,BA/PMO,FALSE,,37,,2018-11-05 13:05:50.991000,True,False,,190,False,False,Data Warehouse
